Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
GrowK;24;2;24;ARM-CMSIS-DSP;0.414293;3862;694444;1
GrowK;24;2;24;TillJIT;0.746616;2143;694444;1
GrowK;24;2;24;Intrinsics;0.465522;-3437;694444;0
GrowK;24;2;24;ReferenceCM;0.036380;4398;69444;1
GrowK;24;3;24;ARM-CMSIS-DSP;0.513808;3114;462962;1
GrowK;24;3;24;TillJIT;0.924854;1730;462962;1
GrowK;24;3;24;Intrinsics;0.585222;-2734;462962;0
GrowK;24;3;24;ReferenceCM;0.047100;3397;46296;1
GrowK;24;4;24;ARM-CMSIS-DSP;0.583728;2741;347222;1
GrowK;24;4;24;TillJIT;0.977994;1636;347222;1
GrowK;24;4;24;Intrinsics;0.671704;-2382;347222;0
GrowK;24;4;24;ReferenceCM;0.075507;2119;34722;1
GrowK;24;5;24;ARM-CMSIS-DSP;0.635928;2516;277777;1
GrowK;24;5;24;TillJIT;1.060302;1509;277777;1
GrowK;24;5;24;Intrinsics;0.736307;-2173;277777;0
GrowK;24;5;24;ReferenceCM;0.070297;2276;27777;1
GrowK;24;6;24;ARM-CMSIS-DSP;0.675960;2367;231481;1
GrowK;24;6;24;TillJIT;1.125173;1422;231481;1
GrowK;24;6;24;Intrinsics;0.787788;-2031;231481;0
GrowK;24;6;24;ReferenceCM;0.072892;2195;23148;1
GrowK;24;7;24;ARM-CMSIS-DSP;0.706399;2265;198412;1
GrowK;24;7;24;TillJIT;1.173877;1363;198412;1
GrowK;24;8;24;ARM-CMSIS-DSP;0.732936;2183;173611;1
GrowK;24;8;24;TillJIT;1.204819;1328;173611;1
GrowK;24;9;24;ARM-CMSIS-DSP;0.754356;2121;154320;1
GrowK;24;9;24;TillJIT;1.240302;1290;154320;1
GrowK;24;10;24;ARM-CMSIS-DSP;0.772569;2071;138888;1
GrowK;24;10;24;TillJIT;1.267821;1262;138888;1
GrowK;24;11;24;ARM-CMSIS-DSP;0.787785;2031;126262;1
GrowK;24;11;24;TillJIT;1.292401;1238;126262;1
GrowK;24;12;24;ARM-CMSIS-DSP;0.801197;1997;115740;1
GrowK;24;12;24;TillJIT;1.313620;1218;115740;1
GrowK;24;13;24;ARM-CMSIS-DSP;0.813417;1967;106837;1
GrowK;24;13;24;TillJIT;1.324496;1208;106837;1
GrowK;24;14;24;ARM-CMSIS-DSP;0.823466;1943;99206;1
GrowK;24;14;24;TillJIT;1.341152;1193;99206;1
GrowK;24;15;24;ARM-CMSIS-DSP;0.832894;1921;92592;1
GrowK;24;15;24;TillJIT;1.355924;1180;92592;1
GrowK;24;16;24;ARM-CMSIS-DSP;0.840772;1903;86805;1
GrowK;24;16;24;TillJIT;1.368682;1169;86805;1
GrowK;24;17;24;ARM-CMSIS-DSP;0.848353;1886;81699;1
GrowK;24;17;24;TillJIT;1.381687;1158;81699;1
GrowK;24;18;24;ARM-CMSIS-DSP;0.855152;1871;77160;1
GrowK;24;18;24;TillJIT;1.386473;1154;77160;1
GrowK;24;19;24;ARM-CMSIS-DSP;0.861136;1858;73099;1
GrowK;24;19;24;TillJIT;1.396153;1146;73099;1
GrowK;24;20;24;ARM-CMSIS-DSP;0.866733;1846;69444;1
GrowK;24;20;24;TillJIT;1.404732;1139;69444;1
GrowK;24;21;24;ARM-CMSIS-DSP;0.871927;1835;66137;1
GrowK;24;21;24;TillJIT;1.414665;1131;66137;1
GrowK;24;22;24;ARM-CMSIS-DSP;0.876708;1825;63131;1
GrowK;24;22;24;TillJIT;1.422215;1125;63131;1
GrowK;24;23;24;ARM-CMSIS-DSP;0.880565;1817;60386;1
GrowK;24;23;24;TillJIT;1.423476;1124;60386;1
GrowK;24;24;24;ARM-CMSIS-DSP;0.883972;1810;57870;1
GrowK;24;24;24;TillJIT;1.431118;1118;57870;1
GrowK;24;25;24;ARM-CMSIS-DSP;0.887893;1802;55555;1
GrowK;24;25;24;TillJIT;1.437542;1113;55555;1
GrowK;24;26;24;ARM-CMSIS-DSP;0.891848;1794;53418;1
GrowK;24;26;24;TillJIT;1.442720;1109;53418;1
GrowK;24;27;24;ARM-CMSIS-DSP;0.894849;1788;51440;1
GrowK;24;27;24;TillJIT;1.447955;1105;51440;1
GrowK;24;28;24;ARM-CMSIS-DSP;0.897864;1782;49603;1
GrowK;24;28;24;TillJIT;1.449270;1104;49603;1
GrowK;24;29;24;ARM-CMSIS-DSP;0.900887;1776;47892;1
GrowK;24;29;24;TillJIT;1.453203;1101;47892;1
GrowK;24;30;24;ARM-CMSIS-DSP;0.903439;1771;46296;1
GrowK;24;30;24;TillJIT;1.459845;1096;46296;1
GrowK;24;31;24;ARM-CMSIS-DSP;0.905985;1766;44802;1
GrowK;24;31;24;TillJIT;1.462495;1094;44802;1
GrowK;24;32;24;ARM-CMSIS-DSP;0.908043;1762;43402;1
GrowK;24;32;24;TillJIT;1.466518;1091;43402;1
GrowK;24;33;24;ARM-CMSIS-DSP;0.910631;1757;42087;1
GrowK;24;33;24;TillJIT;1.467871;1090;42087;1
GrowK;24;34;24;ARM-CMSIS-DSP;0.912186;1754;40849;1
GrowK;24;34;24;TillJIT;1.470564;1088;40849;1
GrowK;24;35;24;ARM-CMSIS-DSP;0.914796;1749;39682;1
GrowK;24;35;24;TillJIT;1.474634;1085;39682;1
GrowK;24;36;24;ARM-CMSIS-DSP;0.916374;1746;38580;1
GrowK;24;36;24;TillJIT;1.478734;1082;38580;1
GrowK;24;37;24;ARM-CMSIS-DSP;0.918471;1742;37537;1
GrowK;24;37;24;TillJIT;1.481460;1080;37537;1
GrowK;24;38;24;ARM-CMSIS-DSP;0.920051;1739;36549;1
GrowK;24;38;24;TillJIT;1.481453;1080;36549;1
GrowK;24;39;24;ARM-CMSIS-DSP;0.921645;1736;35612;1
GrowK;24;39;24;TillJIT;1.484208;1078;35612;1
GrowK;24;40;24;ARM-CMSIS-DSP;0.923249;1733;34722;1
